,Re_lethe,Np_lethe,Re,Np_pred,Np0
0,1.0,75.780224,1.0,76.16629791259766,44.45068358559047
1,23.275,5.149553,1.0985411419875581,69.37542724609375,40.523357712385504
2,8.425,9.833018,1.2067926406393286,63.147613525390625,36.94927050624125
3,97.525,3.165989,1.3257113655901092,57.48347091674805,33.696752640067
4,28.225,4.748456,1.4563484775012439,52.35029602050781,30.736975701304246
5,57.925,3.637286,1.599858719606058,47.69643020629883,28.043697373297586
6,3.475,22.228781,1.7575106248547918,43.467533111572266,25.593029472941154
7,92.575,3.201262,1.93069772888325,39.616275787353516,23.363226794402927
8,72.775,3.396793,2.120950887920191,36.10575866699219,21.33449489262949
9,43.075,4.031309,2.329951810515372,32.90774154663086,19.48881510773271
10,38.125,4.219522,2.5595479226995357,29.999095916748047,17.809785283737746
11,77.725,3.337643,2.8117686979742302,27.358348846435547,16.28247477387623
12,33.175,4.452053,3.088843596477481,24.963817596435547,14.893292450866037
13,82.675,3.28614,3.393221771895328,22.79309844970703,13.629866555545478
14,67.825,3.465105,3.72759372031494,20.824386596679688,12.48093532184105
15,62.875,3.544481,4.094915062380425,19.0372257232666,11.436247411268086
16,48.025,3.876116,4.498432668969445,17.414081573486328,10.486471276833873
17,52.975,3.746528,4.941713361323834,15.940096855163574,9.623112655098284
18,87.625,3.241022,5.428675439323859,14.602863311767578,8.838439456943352
19,18.325,5.762116,5.963623316594643,13.391584396362305,8.12541339294427
20,13.375,6.92103,6.551285568595508,12.29649543762207,7.477627728694949
21,,,7.196856730011519,11.308663368225098,6.889250619545226
22,,,7.906043210907698,10.419711112976074,6.354973523429569
23,,,8.685113737513525,9.622084617614746,5.869964235239952
24,,,9.54095476349994,8.908919334411621,5.42982412691103
25,,,10.481131341546858,8.273838996887207,5.030549214398495
26,,,11.513953993264469,7.7108378410339355,4.6684947063637585
27,,,12.648552168552959,7.213840484619141,4.340342719921084
28,,,13.894954943731374,6.776598930358887,4.043072876520123
29,,,15.264179671752334,6.392522811889648,3.773935516165342
30,,,16.768329368110074,6.054903030395508,3.5304272909288072
31,,,18.420699693267153,5.7570295333862305,3.310268919287955
32,,,20.235896477251565,5.492442607879639,3.1113849013920287
33,,,22.229964825261945,5.2552714347839355,2.9318850120907505
34,,,24.42053094548651,5.040417194366455,2.770047403597823
35,,,26.826957952797247,4.8436665534973145,2.6243031631549014
36,,,29.4705170255181,4.66171407699585,2.4932221831557047
37,,,32.374575428176435,4.492245674133301,2.375500212042608
38,,,35.564803062231285,4.333561897277832,2.2699469640811074
39,,,39.06939937054615,4.1847004890441895,2.1754751750746064
40,,,42.91934260128776,4.045032024383545,2.0910904994912465
41,,,47.14866363457392,3.914231061935425,2.0158821527190116
42,,,51.7947467923121,3.7920172214508057,1.94901421075798
43,,,56.89866029018296,3.678288698196411,1.8897174892817523
44,,,62.505519252739695,3.5730056762695312,1.8372819355415553
45,,,68.66488450042998,3.476140022277832,1.791049481159375
46,,,75.43120063354615,3.3878867626190186,1.7504073227778443
47,,,82.86427728546842,3.3084557056427,1.7147816222246421
48,,,91.02981779915217,3.238300085067749,1.683631649593729
49,,,100.0,3.1779634952545166,1.6564444321531204
